2026-05-08 10:43:56.885 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Mixer03: {fecha=08-05-2026 10:43:44, VAB=442.1822814941406, VBC=444.9986572265625, PF=0.8168758153915405, PW=85.15021514892578, IA=131.83253479003906, VAC=444.64654541015625, IB=129.10556030273438, IC=140.97581481933594, KWh=242766.125}
2026-05-08 10:43:56.887 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Mixer03 | Clientes conectados: 0
2026-05-08 10:43:56.889 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Mixer03
2026-05-08 10:43:56.967 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Mixer04: {fecha=08-05-2026 10:43:44, VAB=200.47030639648438, VBC=200.58981323242188, PF=1.042768955230713, PW=11.847624778747559, IA=51.71271514892578, VAC=200.8134765625, IB=35.118934631347656, IC=30.619140625, KWh=144834.015625}
2026-05-08 10:43:56.967 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Mixer04 | Clientes conectados: 0
2026-05-08 10:43:56.967 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Mixer04
2026-05-08 10:43:57.059 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Molino: {fecha=08-05-2026 10:43:44, VAB=442.27410888671875, VBC=445.1223449707031, PF=0.4891616404056549, PW=0.9944980144500732, IA=2.61995792388916, VAC=444.7505187988281, IB=2.6356983184814453, IC=2.6400375366210938, KWh=105507.8515625}
2026-05-08 10:43:57.060 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Molino | Clientes conectados: 0
2026-05-08 10:43:57.060 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Molino
2026-05-08 10:43:57.116 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Pulverizador: {fecha=08-05-2026 10:43:44, VAB=442.14654541015625, VBC=445.0143127441406, PF=1.0, PW=4.0605082511901855, IA=5.603891372680664, VAC=444.6825866699219, IB=8.719914436340332, IC=8.919264793395996, KWh=34023.4765625}
2026-05-08 10:43:57.117 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Pulverizador | Clientes conectados: 0
2026-05-08 10:43:57.117 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Pulverizador
